ID,FFNN_AVE,FFNN_STD
1,0.999919999016788,9.79808200238045e-05
2,0.9992457027933586,0.0014516760188885537
3,0.9770024213907469,0.0011903107772388043
4,0.8385535729972556,0.002031230640390468
5,0.6749228121049898,0.0038428277121647088
6,0.49739431581277954,0.001874120972913
7,1.0,0.0
8,0.9997999999616001,0.00017888547755478515
9,0.9992399987231979,0.0015200025536042717
10,0.9999599999968,8.000000639998285e-05
11,1.0,0.0
12,0.9681412358733734,0.002118403716328037
13,0.8092980617523834,0.0035468855678837917
14,0.9672595655318273,0.0018040426387081127
