ID,FFNN_AVE,FFNN_STD
1,0.9999466660320813,7.774695798420304e-05
2,0.9999771426540389,4.571469192198307e-05
3,0.9772797778166259,0.0009082473778573018
4,0.8379649622370566,0.0011180463266851506
5,0.6755040394770646,0.00363811195623428
6,0.49782984108674133,0.002991182562361253
7,1.0,0.0
8,0.9986800044511845,0.0025411719218433417
9,1.0,0.0
10,1.0,0.0
11,0.9999166641926349,0.0001666716147302072
12,0.968426441705569,0.001649858028217581
13,0.8094287882214839,0.0035831849296736975
14,0.9664437695942295,0.0026752655160642625
